CID,Company,Form,Year,Period,Date/Time,Status,Filing ID
R060033,National Grid USA Service Company Inc.                                         ,Form 60,2014,Q4,"5/1/2015, 7:31 PM",Migrated,15112
R060017,"National Grid Engineering & Survey, Inc.                                       ",Form 60,2014,Q4,"5/1/2015, 7:30 PM",Migrated,15111
R060027,Iberdrola USA Management Corporation                                           ,Form 60,2014,Q4,"5/1/2015, 4:20 PM",Migrated,15110
R060024,PHI Service Company                                                            ,Form 60,2014,Q4,"5/1/2015, 4:09 PM",Migrated,15109
C004283,"Entergy Nuclear Operations, Inc.",Form 60,2014,Q4,"5/1/2015, 4:05 PM",Migrated,15108
R060014,"Exelon Business Services Company, LLC                                          ",Form 60,2014,Q4,"5/1/2015, 2:51 PM",Migrated,15107
R060034,PNMR Services Company                                                           ,Form 60,2014,Q4,"5/1/2015, 1:03 PM",Migrated,15106
C011553,Algonquin Power & Utilities Corp.,Form 60,2014,Q4,"5/1/2015, 11:57 AM",Migrated,15105
C011434,PPL Services Corporation,Form 60,2014,Q4,"4/30/2015, 9:12 PM",Migrated,15104
C000690,"Alliant Energy Corporate Services, Inc.",Form 60,2014,Q4,"4/30/2015, 3:54 PM",Migrated,15103
C011106,WEC Business Services LLC,Form 60,2014,Q4,"4/30/2015, 3:30 PM",Migrated,15102
R060038,"CenterPoint Energy Service Company, LLC                                        ",Form 60,2014,Q4,"4/30/2015, 3:23 PM",Migrated,15101
C011555,Liberty Utilities Service Corp.,Form 60,2014,Q4,"4/30/2015, 3:17 PM",Migrated,15100
C004556,Eversource Energy Service Company (as agent),Form 60,2014,Q4,"4/30/2015, 2:31 PM",Migrated,15098
C002146,"Entergy Services, LLC",Form 60,2014,Q4,"4/30/2015, 2:30 PM",Migrated,15097
R060044,Columbia Pipeline Group Service Company,Form 60,2014,Q4,"4/30/2015, 2:23 PM",Migrated,15096
R060026,"Black Hills Service Company, LLC                                               ",Form 60,2014,Q4,"4/30/2015, 12:55 PM",Migrated,15099
R060013,"Dominion Resources Services, Inc.                                              ",Form 60,2014,Q4,"4/30/2015, 12:24 PM",Migrated,15095
C011554,Liberty Utilities (Canada) Corp.,Form 60,2014,Q4,"4/30/2015, 9:52 AM",Migrated,15093
R060010,"Southern Nuclear Operating Company, Inc.                                       ",Form 60,2014,Q4,"4/30/2015, 9:07 AM",Migrated,15094
R060019,"Southern Company Services, Inc.                                                ",Form 60,2014,Q4,"4/30/2015, 8:22 AM",Migrated,15092
R060002,Xcel Energy Services Inc.                                                      ,Form 60,2014,Q4,"4/29/2015, 4:55 PM",Migrated,15091
R060037,"Black Hills Utility Holdings, Inc.                                              ",Form 60,2014,Q4,"4/29/2015, 4:26 PM",Migrated,15090
R060032,Great Plains Energy Services Incorporated                                      ,Form 60,2014,Q4,"4/29/2015, 2:10 PM",Migrated,15089
R060007,"Entergy Services, Inc.                                                          ",Form 60,2014,Q4,"4/29/2015, 10:19 AM",Migrated,15088
R060005,"Entergy Operations, Inc.                                                       ",Form 60,2014,Q4,"4/29/2015, 10:18 AM",Migrated,15087
R060008,"Entergy Nuclear Operations, Inc.                                               ",Form 60,2014,Q4,"4/29/2015, 10:17 AM",Migrated,15086
R060006,"Entergy Enterprises, Inc.                                                      ",Form 60,2014,Q4,"4/29/2015, 10:16 AM",Migrated,15085
R060021,"Alliant Energy Corporate Services, Inc.                                        ",Form 60,2014,Q4,"4/29/2015, 9:07 AM",Migrated,15084
R060029,American Electric Power Service Corporation                                    ,Form 60,2014,Q4,"4/28/2015, 11:37 AM",Migrated,15083
C011210,"AES US Services, LLC",Form 60,2014,Q4,"4/27/2015, 4:00 PM",Migrated,15082
R060011,"Progress Energy Service Company, LLC                                           ",Form 60,2014,Q4,"4/27/2015, 3:07 PM",Migrated,15081
R060022,"Duke Energy Business Services, LLC                                             ",Form 60,2014,Q4,"4/27/2015, 3:04 PM",Migrated,15080
R060009,"SCANA Services, Inc.                                                           ",Form 60,2014,Q4,"4/24/2015, 11:04 AM",Migrated,15079
C011363,LG&E and KU Services Company,Form 60,2014,Q4,"4/23/2015, 3:28 PM",Migrated,15078
C011507,Liberty Energy Utilities (New Hampshire) Corp.,Form 60,2014,Q4,"4/3/2015, 12:43 PM",Migrated,15077
R060020,NiSource Corporate Services Company                                            ,Form 60,2014,Q4,"4/1/2015, 8:35 AM",Migrated,15075
R060030,Unitil Service Corporation                                                     ,Form 60,2014,Q4,"3/30/2015, 9:50 AM",Migrated,15076
