Category,Organization,Filed,Sub-Docket,Accession,Description
Issued By,"SECRETARY OF THE COMMISSION, FERC COMMISSIONERS & IMMEDIATE STAFF (THE COMMISSION)",06/17/2010,0,20100617-4007 Go to Doc InfoGo to File List,Notice of Proposed Rulemaking re Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM10-23. Commissioner Moeller concurring statement attached.
Issued By,CHAIR AND IMMEDIATE STAFF (CHAIR),06/17/2010,0,20100617-3046 Go to Doc InfoGo to File List,Statement of Chairman Wellinghoff on Transmission Planning and Cost Allocation Notice of Proposed Rulemaking under RM10-23.
Issued By,COMMISSIONERS & IMMEDIATE STAFF (THE COMMISSION),06/17/2010,0,20100617-3047 Go to Doc InfoGo to File List,Statement of Commissioner Moeller on Transmission Planning and Cost Allocation Notice of Proposed Rulemaking under RM10-23.
Issued By,COMMISSIONERS & IMMEDIATE STAFF (THE COMMISSION),06/17/2010,0,20100617-3048 Go to Doc InfoGo to File List,Statement of Commissioner Norris on transmission planning and cost allocation Notice of Proposed Rulemaking under RM10-23.
Issued By,OFFICE OF EXTERNAL AFFAIRS,06/17/2010,0,20100617-3050 Go to Doc InfoGo to File List,Notice of Proposed Rulemaking: Transmission Planning and Cost Allocation By Transmission Owning and Operating Public Utilities under RM10-23.
Issued By,OFFICE OF EXTERNAL AFFAIRS,06/17/2010,0,20100617-3052 Go to Doc InfoGo to File List,"News Release - FERC proposes, seeks comment on transmission planning, cost allocation principles under RM10-23."
Issued By,COMMISSIONERS & IMMEDIATE STAFF (THE COMMISSION),06/17/2010,0,20100617-3054 Go to Doc InfoGo to File List,Statement of Commissioner Spitzer on Transmission Planning and Cost Allocation Notice of Proposed Rulemaking under RM10-23.
Filed By,"First Wind Energy Marketing, LLC",07/01/2010,0,20100701-5077 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of First Wind Energy Marketing, LLC under RM10-23."
Filed By,Arkansas Public Service Commission,07/14/2010,0,20100714-5039 Go to Doc InfoGo to File List,Notice of Intervention of the Arkansas Public Service Commission under RM10-23.
Filed By,Missouri Public Service Commission,07/22/2010,0,20100722-5118 Go to Doc InfoGo to File List,Notice of Intervention of the Missouri Public Service Commission in RM10-23
Filed By,Administrative Committee of the Consolidated Transmission Ow,08/05/2010,0,20100805-5121 Go to Doc InfoGo to File List,"Motion of the Administrative Committee of the Consolidated Transmission Owners Agreement of PJM Interconnection, L.L.C. to Extend the Period for Filing Comments under RM10-23."
Filed By,Southern California Edison Company,08/06/2010,0,20100806-5063 Go to Doc InfoGo to File List,Southern California Edison Company (SCE) Motion To Intervene And Comments In Support Of The Motion To Extend The Period For Filing Comments under RM10-23.
Filed By,Midwest ISO Transmission Owners,08/06/2010,0,20100806-5094 Go to Doc InfoGo to File List,"Answer of the Midwest ISO Transmission Owners to Request for Extension of Time, under Docket No. RM10-23."
Filed By,Arizona Corporation Commission,08/06/2010,0,20100806-5116 Go to Doc InfoGo to File List,"Answer Of The Arizona Corporation Commission In Support Of Motion To Extend The Period For Filing Comments Filed By Committee Of The Consolidated Transmission Owners Agreement Of Pjm Interconnection, L.L.C. under RM10-23-000."
Filed By,Large Public Power Council,08/09/2010,0,20100809-5101 Go to Doc InfoGo to File List,Comment of Large Public Power Council under RM10-23.
Issued By,"SECRETARY OF THE COMMISSION, FERC",08/10/2010,0,20100810-3030 Go to Doc InfoGo to File List,Notice extending comment period re Transmission Planning and Cost Allocation by Transmission Owning and Operating Public Utilities under RM102-23.
Filed By,"LS Power Transmission, LLC",08/10/2010,0,20100810-5072 Go to Doc InfoGo to File List,"Answer of LS Power Transmission, LLC in Opposition to Request for Extension of Comment Date under RM10-23."
Filed By,Pennsylvania Public Utility Commission,08/11/2010,0,20100811-5069 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Pennsylvania Public Utility Commission under RM10-23.
Filed By,Public Utilities Commission of Ohio,08/11/2010,0,20100811-5110 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Public Utilities Commission of Ohio under RM10-23.
Filed By,Direct Energy,08/12/2010,0,20100812-5108 Go to Doc InfoGo to File List,Comment of Direct Energy under RM10-23.
Filed By,Individual No Affiliation,09/09/2010,0,20100909-5007 Go to Doc InfoGo to File List,"Comment of Ignacio J Perez-Arriaga. A hierarchical approach to inter-regional cost allocation is introduced, based on the current European Union scheme. Several cost allocation principles that were noticeably absent from the current NOPR are highlighted ."
