Category,Organization,Filed,Sub-Docket,Accession,Description
Issued By,FEDERAL ENERGY REGULATORY COMMISSION,06/16/2022,0,20220616-3072 Go to Doc InfoGo to File List,News Release: FERC Proposes Interconnection Reforms to Address Queue Backlogs under RM22-14.
Issued By,"SECRETARY OF THE COMMISSION, FERC",06/16/2022,0,20220616-3082 Go to Doc InfoGo to File List,Notice of Proposed Rulemaking re Improvements to Generator Interconnection Procedures and Agreements under RM22-14. Commissioner Danly and Commissioner Christie are concurring with separate statements attached.
Filed By,Kentucky Attorney General,06/17/2022,0,20220617-5018 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Kentucky Attorney General under RM22-14.
Filed By,"Monitoring Analytics, LLC",06/21/2022,0,20220621-5003 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of the Independent Market Monitor for PJM under RM22-14.
Filed By,Massachusetts Department of Public Utilities,06/27/2022,0,20220627-5016 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Massachusetts Department of Public Utilities under RM22-14.
Filed By,Illinois Commerce Commission,06/27/2022,0,20220627-5060 Go to Doc InfoGo to File List,(doc-less) Notice of Intervention of the Illinois Commerce Commission under RM22-14.
Filed By,"RWE Renewables Americas, LLC",06/29/2022,0,20220629-5147 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of RWE Renewables Americas, LLC under RM22-14."
Filed By,"Borrego Solar Systems, Inc.",06/30/2022,0,20220630-5127 Go to Doc InfoGo to File List,"(doc-less) Motion to Intervene of Borrego Solar Systems, Inc. under RM22-14."
Filed By,Sunflower Electric Power Corporation,07/11/2022,0,20220711-5128 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Sunflower Electric Power Corporation under RM22-14.
Filed By,Pennsylvania Public Utility Commission,07/25/2022,0,20220725-5145 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of the Pennsylvania Public Utility Commission under RM22-14.
Filed By,North Carolina Utilities Commission Public Staff,07/26/2022,0,20220726-5100 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of North Carolina Utilities Commission Public Staff under RM22-14.
Filed By,Louisiana Public Service Commission,08/09/2022,0,20220809-5056 Go to Doc InfoGo to File List,(doc-less) Motion to Intervene of Louisiana Public Service Commission under RM22-14.
Filed By,Ampjack Industries Ltd,08/11/2022,0,20220811-5031 Go to Doc InfoGo to File List,Ampjack Industries Ltd submits comments re the Tower Raising System under RM22-14.
