index,Category,Organization,Filed,Sub-Docket,Accession,Description,Accession_Num
20,Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5194 Go to Doc InfoGo to File List,Motion of ISO/RTO Council for Extension of Time to Submit Comments under RM21-17.,20210806-5194
21,Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5199 Go to Doc InfoGo to File List,Motion for Extension of Time to Submit Comments of Independent System Operators and Regional Transmission Organization Council under RM21-17.,20210806-5199
28,Filed By,Individual No Affiliation,08/18/2021,0,20210818-5067 Go to Doc InfoGo to File List,Comments of Tom R Pike under RM21-17.,20210818-5067
29,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5011 Go to Doc InfoGo to File List,Comments of Amanda Waxman under RM21-17.,20210819-5011
30,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5012 Go to Doc InfoGo to File List,Comments of John Blau under RM21-17.,20210819-5012
31,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5016 Go to Doc InfoGo to File List,Comments of Ilyas X Khan under RM21-17.,20210819-5016
32,Filed By,"Organization of MISO States, Inc.",08/19/2021,0,20210819-5180 Go to Doc InfoGo to File List,"Organization of MISO States, Inc.'s Motion for Extension of Time to Submit Comments under RM21-17.",20210819-5180
33,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5010 Go to Doc InfoGo to File List,Comments of Elise Silvestri under RM21-17.,20210819-5010
34,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5013 Go to Doc InfoGo to File List,Comments of Taiji R Nelson under RM21-17.,20210819-5013
35,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5014 Go to Doc InfoGo to File List,Comments of Christian Pelfrey under RM21-17.,20210819-5014
36,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5015 Go to Doc InfoGo to File List,Comments of Danielle McGuire under RM21-17.,20210819-5015
37,Filed By,"Organization of PJM States, Inc.",08/20/2021,0,20210820-5124 Go to Doc InfoGo to File List,"Motion of The Organization of PJM States, Inc. for Extension of Time to submit Comments under RM21-17",20210820-5124
50,Filed By,National Conference of State Legislatures,09/17/2021,0,20210917-5077 Go to Doc InfoGo to File List,Comments of National Conference of State Legislatures under RM21-17.,20210917-5077
58,Filed By,Citizens Enterprises Corporation,10/08/2021,0,20211008-5174 Go to Doc InfoGo to File List,Initial Comments of Citizens Enterprises Corporation under RM21-17.,20211008-5174
61,Filed By,Center for Biological Diversity,10/08/2021,0,20211008-5220 Go to Doc InfoGo to File List,Comments of the Center for Biological Diversity under RM21-17.,20211008-5220
62,Filed By,Utah Public Service Commission,10/08/2021,0,20211008-5208 Go to Doc InfoGo to File List,Comments of the Utah Public Service Commission under RM21-17.,20211008-5208
63,Filed By,Idaho Governor’s Office of Energy and Mineral Resources,10/08/2021,0,20211008-5209 Go to Doc InfoGo to File List,Comments of Idaho Governor’s Office of Energy and Mineral Resources under RM21-17.,20211008-5209
65,Filed By,Individual No Affiliation,10/08/2021,0,20211008-5049 Go to Doc InfoGo to File List,"Comments of Competitive Energy Services, LLC under RM21-17.",20211008-5049
69,Filed By,"Block Island Utility District Braintree Electric Light Department CHICOPEE ELECTRIC LIGHT DEPARTMENT , BELMONT MUNICIPAL LIGHT DEPARTMENT , Georgetown Municipal Light Department , Groveland Electric Light Department , HINGHAM MUNICIPAL LIGHTING PLANT , Littleton Electric Light & Water Department , Middleborough Gas & Electric Department , Middleton Electric Light Department , North Attleborough Electric Department , Norwood Light & Broadband Department , Pascoag Utility District , Reading Municipal Light Department , ROWLEY MUNICIPAL LIGHTING PLANT , Stowe Electric Department , Taunton Municipal Lighting Plant , Wellesley Municipal Light Plant , Westfield Gas & Electric Light Department ,",10/12/2021,0,20211012-5503 Go to Doc InfoGo to File List,"Motion to Intervene and Initial Comments of the New England Consumer-Owned Systems (BELMONT MUNICIPAL LIGHT DEPARTMENT, et. al.) under RM21-17.",20211012-5503
70,Filed By,Transmission Agency of Northern California,10/12/2021,0,20211012-5506 Go to Doc InfoGo to File List,Initial Comments of the Transmission Agency of Northern California under RM21-17.,20211012-5506
71,Filed By,"International Transmission Company, et al.",10/12/2021,0,20211012-5509 Go to Doc InfoGo to File List,"Comments of International Transmission Company, et al. under RM21-17.",20211012-5509
72,Filed By,"NATURAL RESOURCES DEFENSE COUNCIL Sustainable FERC Project Sierra Club , Western Resource Advocates , Conservation Law Foundation , 350 New Orleans , Southface Institute , Acadia Center , SOUTHERN ENVIRONMENTAL LAW CENTER , Northwest Energy Coalition , Fresh Energy ,",10/12/2021,0,20211012-5519 Go to Doc InfoGo to File List,"Comments of Sustainable FERC Project, et. al. under RM21-17.",20211012-5519
73,Filed By,Louisiana Public Service Commission,10/12/2021,0,20211012-5523 Go to Doc InfoGo to File List,Comments of the Louisiana Public Service Commission under RM21-17.,20211012-5523
76,Filed By,Individual No Affiliation,10/12/2021,0,20211012-5112 Go to Doc InfoGo to File List,Comments of Ronald P Belval under RM21-17.,20211012-5112
79,Filed By,New England States Committee on Electricity,10/12/2021,0,20211012-5597 Go to Doc InfoGo to File List,Initial Comments of the New England States Committee on Electricity (NESCOE) under RM21-17.,20211012-5597
80,Filed By,Louisville Gas and Electric Co./ Kentucky Utilities Co.,10/12/2021,0,20211012-5615 Go to Doc InfoGo to File List,Comments of Louisville Gas and Electric Company and Kentucky Utilities Company under RM21-17.,20211012-5615
82,Filed By,RMI,10/12/2021,0,20211012-5619 Go to Doc InfoGo to File List,RMI Comments on FERC Transmission Advance Notice of Proposed Rulemaking under RM21-17.,20211012-5619
83,Filed By,National Grid,10/12/2021,0,20211012-5620 Go to Doc InfoGo to File List,Comments of National Grid under RM21-17.,20211012-5620
84,Filed By,Omaha Public Power District,10/12/2021,0,20211012-5625 Go to Doc InfoGo to File List,Advanced Notice of Proposed Rulemaking Comments of Omaha Public Power District under RM21-17.,20211012-5625
85,Filed By,National Association of State Energy Officials,10/12/2021,0,20211012-5626 Go to Doc InfoGo to File List,Comments of National Association of State Energy Officials under RM21-17.,20211012-5626
87,Filed By,California Department of Water Resources State Water Project,10/12/2021,0,20211012-5647 Go to Doc InfoGo to File List,Comments of California Department of Water Resources State Water Project under RM21-17.,20211012-5647
91,Filed By,EDP Renewables North America LLC,10/12/2021,0,20211012-5408 Go to Doc InfoGo to File List,Comments of EDP Renewables North America LLC under RM21-17.,20211012-5408
92,Filed By,North Dakota Public Service Commission,10/12/2021,0,20211012-5409 Go to Doc InfoGo to File List,Comments of North Dakota Public Service Commission under RM21-17.,20211012-5409
93,Filed By,Orsted North America Inc.,10/12/2021,0,20211012-5675 Go to Doc InfoGo to File List,Comments of Orsted Offshore North America Inc. under RM21-17.,20211012-5675
94,Filed By,"Entergy Services, LLC Entergy Arkansas, LLC Entergy Louisiana, LLC , Entergy Mississippi, LLC , Entergy New Orleans, LLC , Entergy Texas, Inc. ,",10/12/2021,0,20211012-5718 Go to Doc InfoGo to File List,Motion to Intervene and Initial Comments of the Entergy Operating Companies under RM21-17.,20211012-5718
95,Filed By,New Jersey Board of Public Utilities,10/12/2021,0,20211012-5721 Go to Doc InfoGo to File List,Comments of New Jersey Board of Public Utilities under RM21-17.,20211012-5721
96,Filed By,RMI,10/12/2021,0,20211012-5722 Go to Doc InfoGo to File List,Comments of Rocky Mountain Institute under RM21-17.,20211012-5722
97,Filed By,National Association of State Utility Consumer Advocates,10/12/2021,0,20211012-5726 Go to Doc InfoGo to File List,Comments of National Association of State Utility Consumer Advocates under RM21-17.,20211012-5726
98,Filed By,Electric Power Supply Association,10/12/2021,0,20211012-5406 Go to Doc InfoGo to File List,Comments of the Electric Power Supply Association under RM21-17.,20211012-5406
99,Filed By,New England Power Pool Participants Committee,10/12/2021,0,20211012-5561 Go to Doc InfoGo to File List,Initial Comments of the New England Power Pool Participants Committee under RM21-17.,20211012-5561
120,Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5194 Go to Doc InfoGo to File List,Motion of ISO/RTO Council for Extension of Time to Submit Comments under RM21-17.,20210806-5194
121,Filed By,ISO/RTO Council (IRC),08/06/2021,0,20210806-5199 Go to Doc InfoGo to File List,Motion for Extension of Time to Submit Comments of Independent System Operators and Regional Transmission Organization Council under RM21-17.,20210806-5199
128,Filed By,Individual No Affiliation,08/18/2021,0,20210818-5067 Go to Doc InfoGo to File List,Comments of Tom R Pike under RM21-17.,20210818-5067
129,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5011 Go to Doc InfoGo to File List,Comments of Amanda Waxman under RM21-17.,20210819-5011
130,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5012 Go to Doc InfoGo to File List,Comments of John Blau under RM21-17.,20210819-5012
131,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5016 Go to Doc InfoGo to File List,Comments of Ilyas X Khan under RM21-17.,20210819-5016
132,Filed By,"Organization of MISO States, Inc.",08/19/2021,0,20210819-5180 Go to Doc InfoGo to File List,"Organization of MISO States, Inc.'s Motion for Extension of Time to Submit Comments under RM21-17.",20210819-5180
133,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5010 Go to Doc InfoGo to File List,Comments of Elise Silvestri under RM21-17.,20210819-5010
134,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5013 Go to Doc InfoGo to File List,Comments of Taiji R Nelson under RM21-17.,20210819-5013
135,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5014 Go to Doc InfoGo to File List,Comments of Christian Pelfrey under RM21-17.,20210819-5014
136,Filed By,Individual No Affiliation,08/19/2021,0,20210819-5015 Go to Doc InfoGo to File List,Comments of Danielle McGuire under RM21-17.,20210819-5015
137,Filed By,"Organization of PJM States, Inc.",08/20/2021,0,20210820-5124 Go to Doc InfoGo to File List,"Motion of The Organization of PJM States, Inc. for Extension of Time to submit Comments under RM21-17",20210820-5124
150,Filed By,National Conference of State Legislatures,09/17/2021,0,20210917-5077 Go to Doc InfoGo to File List,Comments of National Conference of State Legislatures under RM21-17.,20210917-5077
158,Filed By,Citizens Enterprises Corporation,10/08/2021,0,20211008-5174 Go to Doc InfoGo to File List,Initial Comments of Citizens Enterprises Corporation under RM21-17.,20211008-5174
161,Filed By,Center for Biological Diversity,10/08/2021,0,20211008-5220 Go to Doc InfoGo to File List,Comments of the Center for Biological Diversity under RM21-17.,20211008-5220
162,Filed By,Utah Public Service Commission,10/08/2021,0,20211008-5208 Go to Doc InfoGo to File List,Comments of the Utah Public Service Commission under RM21-17.,20211008-5208
163,Filed By,Idaho Governor’s Office of Energy and Mineral Resources,10/08/2021,0,20211008-5209 Go to Doc InfoGo to File List,Comments of Idaho Governor’s Office of Energy and Mineral Resources under RM21-17.,20211008-5209
165,Filed By,Individual No Affiliation,10/08/2021,0,20211008-5049 Go to Doc InfoGo to File List,"Comments of Competitive Energy Services, LLC under RM21-17.",20211008-5049
169,Filed By,"Block Island Utility District Braintree Electric Light Department CHICOPEE ELECTRIC LIGHT DEPARTMENT , BELMONT MUNICIPAL LIGHT DEPARTMENT , Georgetown Municipal Light Department , Groveland Electric Light Department , HINGHAM MUNICIPAL LIGHTING PLANT , Littleton Electric Light & Water Department , Middleborough Gas & Electric Department , Middleton Electric Light Department , North Attleborough Electric Department , Norwood Light & Broadband Department , Pascoag Utility District , Reading Municipal Light Department , ROWLEY MUNICIPAL LIGHTING PLANT , Stowe Electric Department , Taunton Municipal Lighting Plant , Wellesley Municipal Light Plant , Westfield Gas & Electric Light Department ,",10/12/2021,0,20211012-5503 Go to Doc InfoGo to File List,"Motion to Intervene and Initial Comments of the New England Consumer-Owned Systems (BELMONT MUNICIPAL LIGHT DEPARTMENT, et. al.) under RM21-17.",20211012-5503
170,Filed By,Transmission Agency of Northern California,10/12/2021,0,20211012-5506 Go to Doc InfoGo to File List,Initial Comments of the Transmission Agency of Northern California under RM21-17.,20211012-5506
171,Filed By,"International Transmission Company, et al.",10/12/2021,0,20211012-5509 Go to Doc InfoGo to File List,"Comments of International Transmission Company, et al. under RM21-17.",20211012-5509
172,Filed By,"NATURAL RESOURCES DEFENSE COUNCIL Sustainable FERC Project Sierra Club , Western Resource Advocates , Conservation Law Foundation , 350 New Orleans , Southface Institute , Acadia Center , SOUTHERN ENVIRONMENTAL LAW CENTER , Northwest Energy Coalition , Fresh Energy ,",10/12/2021,0,20211012-5519 Go to Doc InfoGo to File List,"Comments of Sustainable FERC Project, et. al. under RM21-17.",20211012-5519
173,Filed By,Louisiana Public Service Commission,10/12/2021,0,20211012-5523 Go to Doc InfoGo to File List,Comments of the Louisiana Public Service Commission under RM21-17.,20211012-5523
176,Filed By,Individual No Affiliation,10/12/2021,0,20211012-5112 Go to Doc InfoGo to File List,Comments of Ronald P Belval under RM21-17.,20211012-5112
179,Filed By,New England States Committee on Electricity,10/12/2021,0,20211012-5597 Go to Doc InfoGo to File List,Initial Comments of the New England States Committee on Electricity (NESCOE) under RM21-17.,20211012-5597
180,Filed By,Louisville Gas and Electric Co./ Kentucky Utilities Co.,10/12/2021,0,20211012-5615 Go to Doc InfoGo to File List,Comments of Louisville Gas and Electric Company and Kentucky Utilities Company under RM21-17.,20211012-5615
182,Filed By,RMI,10/12/2021,0,20211012-5619 Go to Doc InfoGo to File List,RMI Comments on FERC Transmission Advance Notice of Proposed Rulemaking under RM21-17.,20211012-5619
183,Filed By,National Grid,10/12/2021,0,20211012-5620 Go to Doc InfoGo to File List,Comments of National Grid under RM21-17.,20211012-5620
184,Filed By,Omaha Public Power District,10/12/2021,0,20211012-5625 Go to Doc InfoGo to File List,Advanced Notice of Proposed Rulemaking Comments of Omaha Public Power District under RM21-17.,20211012-5625
185,Filed By,National Association of State Energy Officials,10/12/2021,0,20211012-5626 Go to Doc InfoGo to File List,Comments of National Association of State Energy Officials under RM21-17.,20211012-5626
187,Filed By,California Department of Water Resources State Water Project,10/12/2021,0,20211012-5647 Go to Doc InfoGo to File List,Comments of California Department of Water Resources State Water Project under RM21-17.,20211012-5647
191,Filed By,EDP Renewables North America LLC,10/12/2021,0,20211012-5408 Go to Doc InfoGo to File List,Comments of EDP Renewables North America LLC under RM21-17.,20211012-5408
192,Filed By,North Dakota Public Service Commission,10/12/2021,0,20211012-5409 Go to Doc InfoGo to File List,Comments of North Dakota Public Service Commission under RM21-17.,20211012-5409
193,Filed By,Orsted North America Inc.,10/12/2021,0,20211012-5675 Go to Doc InfoGo to File List,Comments of Orsted Offshore North America Inc. under RM21-17.,20211012-5675
194,Filed By,"Entergy Services, LLC Entergy Arkansas, LLC Entergy Louisiana, LLC , Entergy Mississippi, LLC , Entergy New Orleans, LLC , Entergy Texas, Inc. ,",10/12/2021,0,20211012-5718 Go to Doc InfoGo to File List,Motion to Intervene and Initial Comments of the Entergy Operating Companies under RM21-17.,20211012-5718
195,Filed By,New Jersey Board of Public Utilities,10/12/2021,0,20211012-5721 Go to Doc InfoGo to File List,Comments of New Jersey Board of Public Utilities under RM21-17.,20211012-5721
196,Filed By,RMI,10/12/2021,0,20211012-5722 Go to Doc InfoGo to File List,Comments of Rocky Mountain Institute under RM21-17.,20211012-5722
197,Filed By,National Association of State Utility Consumer Advocates,10/12/2021,0,20211012-5726 Go to Doc InfoGo to File List,Comments of National Association of State Utility Consumer Advocates under RM21-17.,20211012-5726
198,Filed By,Electric Power Supply Association,10/12/2021,0,20211012-5406 Go to Doc InfoGo to File List,Comments of the Electric Power Supply Association under RM21-17.,20211012-5406
199,Filed By,New England Power Pool Participants Committee,10/12/2021,0,20211012-5561 Go to Doc InfoGo to File List,Initial Comments of the New England Power Pool Participants Committee under RM21-17.,20211012-5561
200,Filed By,The Dayton Power and Light Company,10/12/2021,0,20211012-5571 Go to Doc InfoGo to File List,Comments of The Dayton Power and Light Company d/b/a AES Ohio under RM21-17.,20211012-5571
201,Filed By,Arizona Public Service Company,10/12/2021,0,20211012-5572 Go to Doc InfoGo to File List,Comments of Arizona Public Service Company under RM21-17.,20211012-5572
202,Filed By,Michigan Public Service Commission,10/12/2021,0,20211012-5575 Go to Doc InfoGo to File List,Comments of the Michigan Public Service Commission under Docket No. RM21-17,20211012-5575
203,Filed By,Foundation for Resilient Societies,10/12/2021,0,20211012-5577 Go to Doc InfoGo to File List,Comments of Foundation for Resilient Societies presenting five basic proposals and asking for Reply Comments under RM21-17.,20211012-5577
